person_id,姓名,性别,年龄,年龄段,家庭状态,职业大类,occupation_code,具体职位,home_place_id,work_place_id,school_place_id,sociability,routine_preference,spontaneity,travel_tolerance,nightlife_preference,activity_budget,family_orientation,warmth,directness,patience,communication_style,employer_id,personality_summary
P00015,谢景安,男,24,18-24,无需要照顾的孩子,服务业者,service_worker,保安,PL_W41405416,PL_N4602942588,,0.83,0.94,0.30,0.64,0.65,0.36,0.28,0.31,0.46,0.37,健谈外向,ORG_N4602942588,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00016,周若宁,女,20,18-24,无需要照顾的孩子,大学生,university_student,本科生,PL_W660079496,PL_W23447514,PL_W23447514,0.64,0.63,0.39,0.79,0.76,0.65,0.11,0.10,0.39,0.45,克制务实,ORG_W23447514,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，喜欢晚间外出。
P00017,杨佳佳,女,33,30-34,有未成年孩子,服务业者,service_worker,健身教练,PL_W662175819,PL_N2849241120,PL_W25366324,0.60,0.47,0.49,0.45,0.52,0.51,0.98,0.22,0.51,0.32,克制务实,ORG_N2849241120,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00018,梁志,男,45,40-45,有未成年孩子,服务业者,service_worker,零售店员,PL_W659449245,PL_N4030019996,PL_W184368203,0.27,0.68,0.32,0.23,0.56,0.14,0.56,0.72,0.20,0.81,温和体贴,ORG_N4030019996,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式温和体贴，处理分歧时较有耐心。
P00019,胡言羽,女,27,25-29,有未成年孩子,服务业者,service_worker,理发师,PL_W661204987,PL_N13744124758,PL_W703400000,0.44,0.42,0.56,0.28,0.75,0.36,0.59,0.15,0.17,0.15,克制务实,ORG_N13744124758,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，喜欢晚间外出。
P00020,张思知,女,45,40-45,有未成年孩子,自由业者,freelancer,自媒体从业者,PL_W705529518,PL_W705529518,PL_W35798775,0.58,0.54,0.58,0.34,0.36,0.43,0.66,0.68,0.12,0.66,克制务实,ORG_UNRES_W705529518,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00021,黄可志,男,22,18-24,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W186588111,PL_W233129906,,0.64,0.55,0.50,0.67,0.69,0.30,0.55,0.72,0.40,0.59,温和体贴,ORG_W233129906,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，喜欢晚间外出。
P00022,林婷,女,20,18-24,无需要照顾的孩子,体力劳动者,manual_worker,焊工,PL_W1275510426,PL_W660836793,,0.32,0.56,0.44,0.50,0.58,0.38,0.64,0.60,0.39,0.43,克制务实,ORG_W32556500,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00023,王明,男,34,30-34,有未成年孩子,体力劳动者,manual_worker,设备操作员,PL_W704993431,PL_W34484343,PL_W180044576,0.63,0.45,0.40,0.61,0.56,0.59,0.25,0.42,0.10,0.43,克制务实,ORG_UNRES_W34484343,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00024,陈楷志,男,31,30-34,有未成年孩子,体力劳动者,manual_worker,卡车司机,PL_W31451199,PL_W66983994,PL_W35836166,0.31,0.83,0.30,0.49,0.32,0.75,0.52,0.19,0.72,0.52,直接简洁,ORG_UNRES_W66983994,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00025,王清源,女,42,40-45,有成年孩子,上班族,office_worker,数据分析师,PL_W659840562,PL_W58728305,,0.50,0.93,0.05,0.67,0.44,0.71,0.20,0.74,0.34,0.57,温和体贴,ORG_W58728305,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00026,韩涵安,女,23,18-24,无需要照顾的孩子,大学生,university_student,本科生,PL_W334728863,PL_W1540356416,PL_W1540356416,0.35,0.53,0.32,0.44,0.69,0.87,0.31,0.32,0.14,0.88,沉稳耐心,ORG_W1540356416,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，喜欢晚间外出，处理分歧时较有耐心。
P00027,王彤晴,女,30,30-34,有未成年孩子,上班族,office_worker,行政专员,PL_W43811734,PL_W704731338,PL_W43605743,0.60,0.23,0.70,0.42,0.47,0.46,0.83,0.83,0.23,0.92,温和体贴,ORG_UNRES_W704731338,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式温和体贴，重视家庭联系，处理分歧时较有耐心。
P00028,郑曦安,女,29,25-29,有未成年孩子,上班族,office_worker,软件工程师,PL_W31622236,PL_W93810037,PL_W36747098,0.63,0.48,0.49,0.47,0.68,0.61,0.66,0.43,0.22,0.50,克制务实,ORG_W93810037,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00029,黄安文,男,18,18-24,无需要照顾的孩子,自由业者,freelancer,咨询顾问,PL_W660636413,PL_W660636413,,0.38,0.45,0.65,0.37,0.38,0.63,0.66,0.63,0.60,0.63,克制务实,ORG_UNRES_W660636413,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00030,王琪涵,女,31,30-34,无需要照顾的孩子,自由业者,freelancer,独立程序员,PL_W457493164,PL_W457493164,,0.69,0.45,0.48,0.56,0.65,0.48,0.60,0.69,0.39,0.83,温和体贴,ORG_UNRES_W457493164,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，处理分歧时较有耐心。
P00031,罗言羽,女,19,18-24,无需要照顾的孩子,上班族,office_worker,会计,PL_W659449079,PL_N6181447582,,0.24,0.59,0.42,0.41,0.54,0.47,0.44,0.75,0.20,0.51,温和体贴,ORG_N6181447582,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00032,陈语,女,34,30-34,有未成年孩子,上班族,office_worker,项目经理,PL_W702169121,PL_W658018645,PL_W35836139,0.66,0.35,0.61,0.44,0.41,0.35,0.35,0.54,0.57,0.33,克制务实,ORG_N6309928577,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00033,谢可心,女,43,40-45,有未成年孩子,上班族,office_worker,财务经理,PL_W659453270,PL_W953878382,PL_W688047029,0.79,0.74,0.48,0.49,0.64,0.50,0.68,0.46,0.23,0.71,沉稳耐心,ORG_N3007175447,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，处理分歧时较有耐心。
P00034,马宁雅,女,25,25-29,无需要照顾的孩子,体力劳动者,manual_worker,维修技师,PL_W660817150,PL_W43806818,,0.77,0.62,0.28,0.65,0.73,0.86,0.68,0.48,0.25,0.20,健谈外向,ORG_UNRES_W43806818,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
P00035,罗怡欣,女,43,40-45,无需要照顾的孩子,服务业者,service_worker,美容师,PL_W31373094,PL_N13717400049,,0.75,0.35,0.58,0.57,0.65,0.61,0.38,0.72,0.67,0.64,温和体贴,ORG_N13717400049,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00036,吴晓佳,女,19,18-24,无需要照顾的孩子,自由业者,freelancer,翻译,PL_W31754521,PL_W31754521,,0.41,0.34,0.52,0.44,0.64,0.15,0.55,0.81,0.51,0.58,温和体贴,ORG_W31754521,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00037,林曦婷,女,39,35-39,有未成年孩子,体力劳动者,manual_worker,设备操作员,PL_W33541209,PL_W58673686,PL_N7797334713,0.47,0.48,0.67,0.39,0.45,0.53,0.46,0.73,0.87,0.48,坦率热情,ORG_W58673690,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00038,李浩文,男,29,25-29,无需要照顾的孩子,上班族,office_worker,采购专员,PL_W661050240,PL_W59244428,,0.38,0.33,0.81,0.64,0.40,0.24,0.54,0.67,0.60,0.63,克制务实,ORG_N6175713509,社交态度适中，既愿意参加活动，也需要独处时间。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00039,杨诚乐,男,40,40-45,无需要照顾的孩子,体力劳动者,manual_worker,焊工,PL_W114706279,PL_W58646801,,0.84,0.94,0.23,0.73,0.52,0.17,0.26,0.67,0.33,0.65,健谈外向,ORG_W58646801,性格较为外向，通常愿意主动联系熟人并参加共同活动。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式健谈外向，生活取向相对均衡。
P00040,韩欣,女,30,30-34,有未成年孩子,体力劳动者,manual_worker,建筑工人,PL_W661822523,PL_W302935292,PL_W71269572,0.72,0.36,0.55,0.50,0.51,0.50,0.29,0.60,0.37,0.66,健谈外向,ORG_UNRES_W302935292,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00041,李知若,女,42,40-45,有未成年孩子,上班族,office_worker,采购经理,PL_W702167759,PL_W662100744,PL_W226096987,0.49,0.41,0.61,0.56,0.55,0.71,0.43,0.21,0.15,0.51,克制务实,ORG_W662100610,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00042,黄佳,女,37,35-39,有未成年孩子,服务业者,service_worker,健身教练,PL_W662761121,PL_N6621951597,PL_W224159663,0.94,0.48,0.60,0.64,0.84,0.21,0.89,0.32,0.28,0.77,沉稳耐心,ORG_N6621951597,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，重视家庭联系，喜欢晚间外出，处理分歧时较有耐心。
P00043,李羽,女,24,18-24,无需要照顾的孩子,大学生,university_student,本科生,PL_W662500287,PL_N11115201179,PL_N11115201179,0.34,0.44,0.59,0.40,0.56,0.44,0.21,0.62,0.78,0.39,坦率热情,ORG_N11115201179,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00044,刘佳雅,女,37,35-39,无需要照顾的孩子,上班族,office_worker,客户经理,PL_W31754538,PL_W669624360,,0.59,0.66,0.35,0.73,0.40,0.18,0.33,0.23,0.57,0.55,克制务实,ORG_UNRES_W669624360,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00045,刘远清,女,28,25-29,无需要照顾的孩子,上班族,office_worker,财务主管,PL_W34229573,PL_W31926854,,0.26,0.72,0.19,0.47,0.65,0.25,0.48,0.37,0.58,0.62,克制务实,ORG_N7751982695,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00046,陈宁佳,女,30,30-34,有未成年孩子,上班族,office_worker,软件工程师,PL_W659340973,PL_W34749604,PL_N7108106148,0.50,0.54,0.50,0.50,0.29,0.37,0.53,0.37,0.20,0.65,克制务实,ORG_UNRES_W34749604,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00047,张志清,男,45,40-45,有未成年孩子,上班族,office_worker,采购专员,PL_W705740396,PL_W661897517,PL_W37236885,0.66,0.90,0.28,0.37,0.47,0.74,0.86,0.30,0.67,0.46,克制务实,ORG_N6549810550,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00048,郑景佑,男,44,40-45,有未成年孩子,上班族,office_worker,高级软件工程师,PL_W662775424,PL_W659322530,PL_W34769549,0.36,0.70,0.20,0.73,0.21,0.47,0.64,0.77,0.49,0.74,温和体贴,ORG_UNRES_W659322530,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式温和体贴，处理分歧时较有耐心。
P00049,郭雅,女,28,25-29,无需要照顾的孩子,上班族,office_worker,客户专员,PL_W705125021,PL_W943602453,,0.60,0.46,0.51,0.58,0.59,0.77,0.20,0.44,0.80,0.66,直接简洁,ORG_N11663588957,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，生活取向相对均衡。
P00050,罗星晓,女,32,30-34,无需要照顾的孩子,上班族,office_worker,销售代表,PL_W42472531,PL_W229563603,,0.11,0.68,0.52,0.21,0.23,0.68,0.58,0.42,0.36,0.62,克制务实,ORG_W229563603,性格偏安静，更喜欢小范围交往和熟悉的人。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00051,郑轩嘉,男,27,25-29,无需要照顾的孩子,体力劳动者,manual_worker,搬运工,PL_W704196083,PL_W58567258,,0.28,0.63,0.40,0.30,0.36,0.45,0.37,0.10,0.58,0.59,克制务实,ORG_W58567258,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00052,李桐清,女,39,35-39,有未成年孩子,上班族,office_worker,客户经理,PL_W36791496,PL_W302103495,PL_W33396855,0.76,0.21,0.69,0.71,0.74,0.62,0.54,0.25,0.21,0.36,健谈外向,ORG_N13582570978,性格较为外向，通常愿意主动联系熟人并参加共同活动。行动比较随性，容易接受临时邀约，也愿意尝试计划外活动；对较远的出行接受度较高。交流方式健谈外向，喜欢晚间外出。
P00053,李佑博,男,25,25-29,无需要照顾的孩子,体力劳动者,manual_worker,汽车技师,PL_W767378211,PL_W185655076,,0.42,0.81,0.42,0.47,0.39,0.50,0.60,0.26,0.15,0.66,克制务实,ORG_UNRES_W185655076,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式克制务实，生活取向相对均衡。
P00054,黄清涵,女,26,25-29,无需要照顾的孩子,上班族,office_worker,行政专员,PL_W660079287,PL_W27767634,,0.28,0.40,0.55,0.51,0.64,0.52,0.82,0.25,0.24,0.19,克制务实,ORG_W27767634,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00055,黄怡怡,女,27,25-29,无需要照顾的孩子,上班族,office_worker,财务专员,PL_W704292283,PL_W670272316,,0.68,0.67,0.29,0.80,0.57,0.61,0.28,0.64,0.36,0.54,克制务实,ORG_UNRES_W670272316,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00056,刘诚明,男,27,25-29,无需要照顾的孩子,上班族,office_worker,高级软件工程师,PL_W660816929,PL_W165787889,,0.56,0.61,0.50,0.64,0.76,0.47,0.63,0.13,0.89,0.60,直接简洁,ORG_UNRES_W165787889,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式直接简洁，喜欢晚间外出。
P00057,王远远,女,25,25-29,无需要照顾的孩子,上班族,office_worker,财务专员,PL_W660075339,PL_W115222390,,0.05,0.57,0.51,0.30,0.46,0.47,0.45,0.39,0.68,0.60,克制务实,ORG_W115222390,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；更偏好住处或工作地点附近的活动。交流方式克制务实，生活取向相对均衡。
P00058,周瑶,女,34,30-34,无需要照顾的孩子,体力劳动者,manual_worker,搬运工,PL_W660212598,PL_W33296742,,0.59,0.76,0.20,0.36,0.59,0.40,0.09,0.74,0.17,0.68,温和体贴,ORG_UNRES_W33296742,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00059,李静若,女,30,30-34,无需要照顾的孩子,上班族,office_worker,软件工程师,PL_W660820065,PL_W34582534,,0.58,0.94,0.18,0.76,0.47,0.19,0.39,0.44,0.53,0.47,克制务实,ORG_W34582534,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对较远的出行接受度较高。交流方式克制务实，生活取向相对均衡。
P00060,吴涵,女,24,18-24,无需要照顾的孩子,大学生,university_student,硕士研究生,PL_W661636847,PL_W23447424,PL_W23447424,0.14,0.56,0.45,0.56,0.53,0.51,0.62,0.19,0.31,0.78,沉稳耐心,ORG_W23447424,性格偏安静，更喜欢小范围交往和熟悉的人。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式沉稳耐心，处理分歧时较有耐心。
P00061,赵子星,男,30,30-34,有未成年孩子,服务业者,service_worker,咖啡师,PL_W661777910,PL_N5478431221,PL_W186575947,0.42,0.54,0.45,0.53,0.47,0.41,0.71,0.49,0.24,0.30,克制务实,ORG_N5478431221,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式克制务实，重视家庭联系。
P00062,王安桐,女,43,40-45,无需要照顾的孩子,自由业者,freelancer,自由销售,PL_W33036598,PL_N5508838727,,0.44,0.45,0.62,0.62,0.56,0.26,0.65,0.70,0.71,0.33,坦率热情,ORG_N5508838727,社交态度适中，既愿意参加活动，也需要独处时间。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式坦率热情，生活取向相对均衡。
P00063,李思涵,女,35,35-39,无需要照顾的孩子,体力劳动者,manual_worker,汽车技师,PL_W659447274,PL_W33362896,,0.62,0.78,0.50,0.52,0.47,0.55,0.24,0.85,0.35,0.55,温和体贴,ORG_UNRES_W33362896,社交态度适中，既愿意参加活动，也需要独处时间。日常节奏规律，倾向提前安排，不太喜欢计划被突然打乱；对出行距离没有明显偏好。交流方式温和体贴，生活取向相对均衡。
P00064,王言俊,男,42,40-45,有未成年孩子,自由业者,freelancer,自由设计师,PL_W702141532,PL_W61010490,PL_W25366324,0.72,0.45,0.46,0.53,0.37,0.52,0.59,0.29,0.37,0.58,健谈外向,ORG_W61010490,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对出行距离没有明显偏好。交流方式健谈外向，生活取向相对均衡。
P00065,朱嫣佳,女,42,40-45,有未成年孩子,上班族,office_worker,产品经理,PL_W36888109,PL_W659632945,PL_W224897072,0.84,0.66,0.50,0.84,0.83,0.66,0.85,0.64,0.58,0.55,健谈外向,ORG_N6558113016,性格较为外向，通常愿意主动联系熟人并参加共同活动。通常会做基本安排，但遇到合适机会也愿意临时调整；对较远的出行接受度较高。交流方式健谈外向，重视家庭联系，喜欢晚间外出。
